protein	CDS_length	AA_length	pp	e-rate	gene_id	gene_id	transcript_id(s)	length	effective_length	expected_count	TPM	TPM2	TPM3	TPM4
PB2	2280	759	1.499167967	0.001975188	gene-FLUAVs1gp1	gene-FLUAVs1gp1	gene-FLUAVs1gp1	2280	2096.36	55605	17095.93	18972.09	17558.75	17378.98
PB1	2274	757	1.379255257	0.001822002	gene-FLUAVs2gp1	gene-FLUAVs2gp1	gene-FLUAVs2gp1	2274	2090.36	21242.17	3976.89	3711	4322.73	4478.18
PA	2151	716	1.517321555	0.002119164	gene-FLUAVs3gp1	gene-FLUAVs3gp1	gene-FLUAVs3gp1	2151	1967.36	12709.83	6824.21	6830.58	8599.79	8801.77
HA	1701	566	2.835564882	0.005009832	gene-FLUAVs4gp1	gene-FLUAVs4gp1	gene-FLUAVs4gp1	1701	1517.36	177548	153045.65	128945.14	148890.87	158586.94
NP	1497	498	0.648210788	0.001301628	gene-FLUAVs5gp1	gene-FLUAVs5gp1	gene-FLUAVs5gp1	1497	1313.36	130605	124432.57	140327.75	128208.54	126845.77
NA	1410	469	1.413815612	0.003014532	gene-FLUAVs6gp1	gene-FLUAVs6gp1	gene-FLUAVs6gp1	1365	1181.36	222403	178027.95	173846.66	176830.33	177761.44
M1	759	252	0.134046309	0.00053193	gene-FLUAVs7gp1	gene-FLUAVs7gp1	gene-FLUAVs7gp1	759	575.36	66688.01	123534.9	138096.12	94585.27	92017.45
M2	294	97	0.178734254	0.001842621	gene-FLUAVs7gp2	gene-FLUAVs7gp2	gene-FLUAVs7gp2	294	115.14	21655.99	103597.46	104852.41	124710.93	115209.5
NEP	366	121	0.295124931	0.002439049	gene-FLUAVs8gp1	gene-FLUAVs8gp1	gene-FLUAVs8gp1	366	183.67	13719.1	111595.19	101016.5	130758.09	130736.43
NS1	660	219	1.277582078	0.005833708	gene-FLUAVs8gp2	gene-FLUAVs8gp2	gene-FLUAVs8gp2	693	509.36	37649.9	173892.3	179690.71	161211.92	163705.32
