gene	erate	VACWR#	COP	backgroud	absolute	state	exp
gene100	0.00182635695476162	98	J6R	0.24	0.81	Y	3.375
gene101	0.00261794414735591	99	H1L	0.21	0.56	Y	2.66666666666667
gene102	0.00312808940468515	100	H2R	0.21	0.3	N	0
gene103	0.00382587484754667	101	H3L	0.24	0.76	Y	3.16666666666667
gene104	0.00236775818639798	102	H4L	0.21	0.32	Y	1.52380952380952
gene105	0.00323809523809524	103	H5R	0.21	3	Y	14.2857142857143
gene106	0.00123406589860264	104	H6R	0.21	0.93	Y	4.42857142857143
gene107	0.0156252176941832	105	H7R	0.24	1.43	Y	5.95833333333333
gene108	0.00213187629557736	106	D1R	0.21	1.8	Y	8.57142857142857
gene109	0.00192981565182063	107	D2L	0.21	0.4	Y	1.9047619047619
gene110	0.0112660503338469	108	D3R	0.21	0.51	Y	2.42857142857143
gene111	0.00531117627891822	109	D4R	0.29	1.11	Y	3.82758620689655
gene112	0.00406565656565657	110	D5R	0.21	2	Y	9.52380952380952
gene113	0.00318785337653262	111	D6R	0.21	0.51	Y	2.42857142857143
gene114	0.00256944444444444	112	D7R	0.21	1.94	Y	9.23809523809524
gene115	0.0130543666611559	113	D8L	0.21	0.74	Y	3.52380952380952
gene116	0.00319325328759291	114	D9R	0.21	0.66	Y	3.14285714285714
gene117	0.0115143336195968	115	D10R	0.21	0.41	Y	1.95238095238095
gene118	0.00112842712842713	116	D11L	0.21	0.72	Y	3.42857142857143
gene119	0.00126580490216854	117	D12L	0.29	1.56	Y	5.37931034482759
gene120	0.00338328741965106	118	D13L	0.21	1.04	Y	4.95238095238095
gene121	0.00589790522676429	119	A1L	0.21	0.97	Y	4.61904761904762
gene122	0.000441183131766091	120	A2L	0.21	0.86	Y	4.09523809523809
gene123	0.0158922558922559	121	A2.5L	0.62	0.59	Y	0.951612903225806
gene124	0.00366181252650926	122	A3L	0.24	0.99	Y	4.125
gene125	0.0168828231627874	123	A4L	0.21	1.54	Y	7.33333333333333
gene126	0.00154551651484167	124	A5R	0.62	1.31	Y	2.11290322580645
gene127	0.00416237850200114	125	A6L	0.21	0.98	Y	4.66666666666667
gene128	0.00187545411804932	126	A7L	0.24	0.47	Y	1.95833333333333
gene129	0.00203355885261537	127	A8R	0.21	1.07	Y	5.0952380952381
gene13	0.0434337029951222	13	C12L	0.62	1.83	Y	2.95161290322581
gene130	0.00633425160697888	128	A9L	0.26	0.87	Y	3.34615384615385
gene131	0.00803840877914952	129	A10L	0.21	1.11	Y	5.28571428571429
gene132	0.00320938087499602	130	A11R	0.21	0.43	Y	2.04761904761905
gene133	0.0125855412766408	131	A12L	0.21	2.28	Y	10.8571428571429
gene134	0.0322676035719514	132	A13L	0.21	1.34	Y	6.38095238095238
gene135	0.00493928044489842	133	A14L	0.24	0.76	N	0
gene136	0.00439393939393939	134	A14.5L	0.29	0.22	N	0
gene137	0.000834147930922124	135	A15L	0.62	0.8	Y	1.29032258064516
gene138	0.00290705463119256	136	A16L	0.21	0.92	Y	4.38095238095238
gene139	0.00399039903990399	137	A17L	0.62	1.18	Y	1.90322580645161
gene14	0.0127699677892372	14	-	0.29	0.89	Y	3.06896551724138
gene140	0.00966288905313295	138	A18R	0.24	0.56	Y	2.33333333333333
gene141	0	139	A19L	0.21	1.24	Y	5.90476190476191
gene142	0.0136067572274469	140	A21L	0.21	0.31	N	0
gene143	0.0048774806892454	141	A20R	0.29	0.92	Y	3.17241379310345
gene144	0.00390898229607907	142	A22R	0.21	0.47	Y	2.23809523809524
gene145	0.00114000901402476	143	A23R	0.24	1.68	Y	7
gene146	0.00302608079161628	144	A24R	0.24	1.02	Y	4.25
gene147	0.00889675825737207	145	A25L	0.21	0.09	N	0
gene148	0.0782983642170518	146	-	0.29	0.37	Y	1.27586206896552
gene149	0.0255688240970068	147	-	0.21	0.75	Y	3.57142857142857
gene15	0.0211291506507652	15	-	0.21	1.15	Y	5.47619047619048
gene150	0.0300073234765487	148	-	0.23	0.74	Y	3.21739130434783
gene151	0.0552910721291492	149	A26L	0.21	0.59	Y	2.80952380952381
gene152	0.00277638773051617	150	A27L	0.21	1.05	Y	5
gene153	0.00331696133839245	151	A28L	0.3	0.58	Y	1.93333333333333
gene154	0.00279837852206273	152	A29L	0.21	0.84	Y	4
gene155	0.000773524720893142	153	A30L	0.21	0.51	Y	2.42857142857143
gene156	0.00617227131402389	153.5	A30.5L	0.29	0.32	N	0
gene157	0.00519784309257993	154	A31R	0.29	1.73	Y	5.96551724137931
gene158	0.00657903141327815	155	A32L	0.21	0.32	Y	1.52380952380952
gene159	0.00491545893719807	156	A33R	0.26	1.16	Y	4.46153846153846
gene16	0.138254789575348	16	-	0.21	1.45	Y	6.90476190476191
gene160	0.00467912659529426	157	A34R	0.21	1.41	Y	6.71428571428571
gene161	0.00371293105986984	158	A35R	0.24	2.39	Y	9.95833333333333
gene162	0.00302606414535722	159	A36R	0.24	2.03	Y	8.45833333333333
gene163	0.0136298837430913	160	A37R	0.21	1.93	Y	9.19047619047619
gene164	0.00988622866173887	161	-	0.62	0.87	N	0
gene165	0.0106089884350754	162	A38L	0.29	0.23	N	0
gene166	0.108427019464894	163	A39R	0.21	0.36	N	0
gene167	0.067023669796557	164	A39R	0.29	0.23	N	0
gene168	0.00974943355990937	165	A40R	0.21	1.33	Y	6.33333333333333
gene169	0.0133287021741033	166	A41L	0.21	0.66	Y	3.14285714285714
gene17	0.0153205083686367	17	-	0.62	1.09	Y	1.75806451612903
gene170	0.00119860502776556	167	A42R	0.1	0.42	N	0
gene171	0.0123201714110805	168	A43R	0.21	0.43	Y	2.04761904761905
gene172	0.00624375624375624	169	268	0.24	3.2	Y	13.3333333333333
gene173	0.00726218708827405	170	A44L	0.21	2.28	Y	10.8571428571429
gene174	0.00527198233361922	171	A45R	0.29	0.66	Y	2.27586206896552
gene175	0.00490948249465882	172	A46R	0.23	2.22	Y	9.65217391304348
gene176	0.00453013122335832	173	A47L	0.21	2.17	Y	10.3333333333333
gene177	0.00246379726468222	174	A48R	0.29	2.53	Y	8.72413793103448
gene178	0.01041470606688	175	A49R	0.21	0.72	Y	3.42857142857143
gene179	0.00956607820491668	176	A50R	0.29	0.5	Y	1.72413793103448
gene18	0.000345065562456867	18	-	2.41	4.87	Y	2.0207468879668
gene180	0.0385943642798519	177	A51R	0.21	2.33	Y	11.0952380952381
gene181	0.00822975046577531	178	A52R	0.24	2.39	Y	9.95833333333333
gene182	0.31036922355149	179	A53R	0.21	0.63	Y	3
gene183	0.0112622189608629	180	A55R	0.24	0.77	Y	3.20833333333333
gene184	0.0161996784670835	181	A56R	0.21	0.88	Y	4.19047619047619
gene185	0.0138157894736842	181.5	269	0.25	1.71	Y	6.84
gene186	0.0104834865509023	182	A57R	0.23	1.03	Y	4.47826086956522
gene187	0.00175872436742002	183	B1R	0.24	1.69	Y	7.04166666666667
gene188	0.0167574746753048	184	B2R	0.29	3.96	Y	13.6551724137931
gene189	0.112403100775194	185	B3R	0.46	3.19	Y	6.93478260869565
gene19	0.0250235465958807	19	C9L	0.21	0.96	Y	4.57142857142857
gene190	0.00804852438604683	186	B4R	0.21	0.34	Y	1.61904761904762
gene191	0.0132714382262303	187	B5R	0.21	0.8	Y	3.80952380952381
gene192	0.0111520475106631	188	B6R	0.21	1.2	Y	5.71428571428571
gene193	0.00601596071209331	189	B7R	0.29	0.43	Y	1.48275862068966
gene194	0.00377378116829424	190	B8R	0.21	2.39	Y	11.3809523809524
gene195	0.00215631050871325	191	B9R	0.21	1.36	N	0
gene196	0.00133460414348325	192	B10R	0.21	0.46	Y	2.19047619047619
gene197	0.0202566799915843	193	B11R	0.21	2.48	Y	11.8095238095238
gene198	0.00688470142600781	194	B12R	0.29	1.77	Y	6.10344827586207
gene199	0.0382022471910112	195	B13R	0.21	1.9	Y	9.04761904761905
gene20	0.0297286933179944	20	C8L	0.21	0.7	Y	3.33333333333333
gene200	0.00914141414141414	196	B15R	0.07	2.57	Y	36.7142857142857
gene201	0.0216614300434963	197	B16R	0.24	0.63	Y	2.625
gene202	0.125065453868382	198	B17L	0.29	0.33	Y	1.13793103448276
gene203	0.0521803816897141	199	B18R	0.24	0.46	Y	1.91666666666667
gene204	0.112821863541735	200	B19R	0.23	3.09	Y	13.4347826086957
gene205	0.113532014535556	201	-	0.62	1.3	N	0
gene206	0.284598147676337	202	B20R	1.47	2.78	Y	1.89115646258503
gene207	0.231909910286662	203	B20R	0.21	0.98	Y	4.66666666666667
gene208	0.152906280711159	204	-	0.24	1.2	Y	5
gene209	0.0544105818917456	204.5	264	0.26	0.2	N	0
gene21	0.00572580793197373	21	C7L	0.21	1.55	Y	7.38095238095238
gene210	0.120726962074892	205	C12L	0.21	0.7	Y	3.33333333333333
gene211	0.0930817958575196	206	C13L	0.21	0.3	N	0
gene22	0.0159824560945673	22	C6L	0.21	1.74	Y	8.28571428571429
gene23	0.00517369340898753	23	C5L	0.21	1.82	Y	8.66666666666667
gene24	0.234423019940402	24	C4L	0.21	2.17	Y	10.3333333333333
gene25	0.0510510788726907	25	C3L	0.21	1.21	Y	5.76190476190476
gene26	0.0251989440768473	26	C2L	0.21	0.83	Y	3.95238095238095
gene27	0.0403164640452122	27	C1L	0.24	1.36	Y	5.66666666666667
gene28	0.019236197592362	28	N1L	0.21	1.75	Y	8.33333333333333
gene29	0.00967326141263473	29	N2L	0.21	2.1	Y	10
gene30	0.0165861983919499	30	M1L	0.21	1.58	Y	7.52380952380952
gene31	0.0532475989618846	31	M2L	0.21	2.5	Y	11.9047619047619
gene32	0.0102430546951533	32	K1L	0.29	3.1	Y	10.6896551724138
gene33	0.0153588971910889	33	K2L	0.24	1.12	Y	4.66666666666667
gene34	0.0117481759856449	34	K3L	0.24	3.07	Y	12.7916666666667
gene35	0.0152062367646782	35	K4L	0.21	1.06	Y	5.04761904761905
gene36	0.0107194392908679	36	-	0.21	3.18	Y	15.1428571428571
gene37	0.225701911589009	37	K5L	0.1	2.26	Y	22.6
gene38	0.0267596031933127	38	K6L	0.07	2.65	Y	37.8571428571429
gene39	0.0123570732707789	39	K7R	0.21	1.19	Y	5.66666666666667
gene40	0.0137219347214865	40	F1L	0.21	2.66	Y	12.6666666666667
gene41	0.00388283167148138	41	F2L	0.21	2.92	Y	13.9047619047619
gene42	0.00336542537556555	42	F3L	0.24	1.17	Y	4.875
gene43	0.00553967346420177	43	F4L	0.24	2.28	Y	9.5
gene44	0.0175655035917129	44	F5L	0.24	0.95	Y	3.95833333333333
gene45	0.000273972602739726	45	F6L	0.24	2.28	Y	9.5
gene46	0.00599400599400599	46	F7L	0.21	3.86	Y	18.3809523809524
gene47	0.0280483405483406	47	F8L	0.46	1.99	Y	4.32608695652174
gene48	0.00136818421178611	48	F9L	0.21	0.46	Y	2.19047619047619
gene49	0.00168857525021909	49	F10L	0.29	0.82	Y	2.82758620689655
gene50	0.0212425935330963	50	F11L	0.21	3.32	Y	15.8095238095238
gene51	0.00949176305643182	51	F12L	0.21	1.81	Y	8.61904761904762
gene52	0.00379155435759209	52	F13L	0.21	1.45	Y	6.90476190476191
gene53	0.0136784511784512	53	F14L	0.24	3.02	Y	12.5833333333333
gene54	0.0141551570122999	53.5	F14.5L	0.62	2	Y	3.2258064516129
gene55	0.00837138508371385	54	F15L	0.29	1.19	Y	4.10344827586207
gene56	0.00985858585858586	55	F16L	0.21	1.65	Y	7.85714285714286
gene57	0.00842020202020202	56	F17R	0.21	1.17	Y	5.57142857142857
gene58	0.00362706563543384	57	E1L	0.29	0.77	Y	2.6551724137931
gene59	0.00450839920948617	58	E2L	0.21	0.95	Y	4.52380952380952
gene60	0.0225749559082892	59	E3L	0.21	4.08	Y	19.4285714285714
gene61	0.00429645290110406	60	E4L	0.21	2.53	Y	12.047619047619
gene62	0.0105956930003851	61	E5R	0.21	3.36	Y	16
gene63	0.00267944462290752	62	E6R	0.21	0.64	Y	3.04761904761905
gene64	0.00112573099415205	63	E7R	0.21	0.73	Y	3.47619047619048
gene65	0.00479203802733214	64	E8R	0.21	0.46	N	0
gene66	0.00326046535001759	65	E9L	0.21	1.34	Y	6.38095238095238
gene67	0.0157704706640877	66	E10R	0.21	0.35	N	0
gene68	0	67	E11L	0.62	0.97	Y	1.56451612903226
gene69	0.00640926717737318	68	O1L	0.24	2.22	Y	9.25
gene70	0.00539790427640895	69	O2L	0.21	2.96	Y	14.0952380952381
gene71	0.00172905525846702	69.5	266	0.21	0.72	N	0
gene72	0.0039156841729189	70	I1L	0.21	2.08	Y	9.90476190476191
gene73	0.00872431446805526	71	I2L	0.62	1.78	Y	2.87096774193548
gene74	0.00438413990652797	72	I3L	0.21	3.25	Y	15.4761904761905
gene75	0.00949887608718054	73	I4L	0.29	0.76	Y	2.62068965517241
gene76	0.00572649572649573	74	I5L	0.08	0.27	N	0
gene77	0.00342353622370552	75	I6L	0.24	0.37	Y	1.54166666666667
gene78	0.00315812149935373	76	I7L	0.21	0.58	Y	2.76190476190476
gene79	0.00391081182192293	77	I8R	0.21	0.24	N	0
gene80	0.0018055127546653	78	G1L	0.21	0.44	Y	2.0952380952381
gene81	0	79	G3L	0.21	0.57	Y	2.71428571428571
gene82	0.00863336561966699	80	G2R	0.21	0.53	Y	2.52380952380952
gene83	0.0123922148312392	81	G4L	0.21	0.69	Y	3.28571428571429
gene84	0.00753633331000537	82	G5R	0.24	0.66	Y	2.75
gene85	0	83	G5.5R	0.21	1.48	Y	7.04761904761905
