	CDS_length	aa_length	pp	e_rate 	junction1	junction2	junction3
orf1ab	21237	7078	21.1466528	0.002987659	9620	8406	9935 
S	4062	1353	3.811777921	0.002817279	801	691	919 
orf3a	312	103	1.860584037	0.018063923	6251	5336	6168 
orf4	1071	355	2.08	0.00584578	7182	5986	7072 
orf5	675	224	0.990855724	0.004423463	3475	3117	3609 
E	249	82	0.258626125	0.003153977	549	506	581 
M	660	219	1.18067238	0.005391198	12096	10434	12605 
N	1242	413	1.672573793	0.004049815	61345	44541	53893 
