protein	cds	aa	pp	erate	expression

NP	1548	515	4.04170763	0.007847976	100

P	1809	602	16.4619614	0.027300102	10.5

D	1122	373	14.59713053	0.039029761	10.5

C	600	199	3.414505372	0.017158318	10.5

M	1062	353	2.33101701	0.006603448	16.6

F	1620	539	6.602032478	0.012248669	20.9

HN	1719	572	5.41269505	0.009495956	19.3

L	6702	2233	11.89097711	0.005325113	5.6
