protein	dnds	dn	ds	ts/tv
UL102	0.06752	0.1213	1.7967	3.19633
UL103	0.10676	0.1880	1.7606	2.63961
UL104	0.06556	0.0813	1.2399	2.39928
UL105	0.05924	0.0985	1.6623	2.63217
UL112	0.21394	0.2886	1.3491	1.48598
UL114	0.14919	0.0875	0.5867	2.38096
UL115	0.16171	0.2554	1.5793	1.74461
UL117	0.11092	0.1740	1.5691	1.91309
UL148	0.19592	0.3394	1.7325	2.60656
UL26	0.10771	0.1240	1.1509	2.15994
UL27	0.11109	0.1476	1.3285	1.79458
UL29	0.06275	0.1079	1.7192	3.58813
UL31	0.00204	0.1754	85.8297	1.21603
UL34	0.12454	0.1716	1.3779	1.68447
UL36	0.04669	0.1264	2.7066	2.09114
UL38	0.02890	0.1979	6.8471	2.05181
UL42	0.13692	0.1902	1.3894	3.19031
UL44	0.05449	0.0660	1.2113	2.72951
UL46	0.09133	0.0864	0.9456	1.88255
UL49	0.11234	0.1266	1.1272	1.39739
UL50	0.10838	0.2558	2.3599	1.59019
UL51	0.19580	0.2275	1.1620	1.64905
UL53	0.08671	0.1809	2.0863	1.01607
UL54	0.06058	0.1038	1.7134	2.41585
UL55	0.01248	0.1752	14.0406	1.61030
UL56	0.09271	0.0889	0.9592	1.96980
UL57	0.03985	0.1329	3.3355	1.86962
UL69	0.00155	0.2586	167.2147	1.19909
UL70	0.05918	0.1147	1.9379	2.72913
UL71	0.00151	0.2359	156.0638	1.28165
UL76	0.46613	0.2483	0.5326	2.13555
UL77	0.06947	0.0993	1.4294	2.52852
UL79	0.08847	0.0814	0.9199	2.77572
UL80.5	0.04854	0.3826	7.8813	1.81364
UL80	0.08415	0.2763	3.2829	1.98297
UL85	0.08337	0.0789	0.9467	2.99592
UL86	0.03069	0.0550	1.7934	4.75871
UL87	0.06329	0.1280	2.0219	2.09532
UL89	0.02434	0.0299	1.2267	4.99248
UL92	0.01729	0.0188	1.0847	3.62207
UL93	0.15016	0.2350	1.5649	1.78433
UL95	0.07942	0.1958	2.4648	1.86183
UL97	0.09390	0.1902	2.0261	1.78763
UL98	0.05787	0.0619	1.0702	4.01316
US19	0.26167	0.3855	1.4732	1.57299
US20	0.05748	0.1566	2.7251	3.44733
US22	0.06394	0.1263	1.9754	2.69919
US24	0.05935	0.0837	1.4098	3.43027
US29	0.34084	0.3115	0.9139	1.86689
US2	0.00129	0.2349	182.2673	1.59553
