orf	unique_pep	PSMs	theo_pep_num	prot	polyrate_wei
E	0	0.5	12	0.0416666666666667	0.000156862
M	16	250	50	5	0.000395697
N	70	4152	117	35.4871794871795	0.001716483
nsp1	10	59	42	1.4047619047619	0.000260794
nsp10	5	18	26	0.692307692307692	0.000178517
nsp12	40	146	237	0.616033755274262	0.00066011
nsp13	24	70	151	0.463576158940397	0.000912139
nsp14	18	34	136	0.25	0.000217872
nsp15	20	50	86	0.581395348837209	0.000214676
nsp16	13	37	67	0.552238805970149	0.000192327
nsp2	41	277	158	1.75316455696203	0.001049495
nsp3	105	850	450	1.88888888888889	0.000215711
nsp4	19	105	97	1.08247422680412	0.000195208
nsp5	9	54	54	1	0.000272919
nsp6	5	20	51	0.392156862745098	0.000776276
nsp7	4	13	20	0.65	0.000607868
nsp8	8	61	45	1.35555555555556	0.000102277
nsp9	4	20	30	0.666666666666667	0.0001162
ORF10	0	0	5	0	
orf1ab	323	1816	1668	1.08872901678657	0.000428624
ORF3a	8	119	38	3.13157894736842	0.002450227
ORF6	2	3	12	0.25	0.000260004
ORF7a	4	23	25	0.92	0.000311623
ORF7b			1		
ORF8	3	33	21	1.57142857142857	0.003435745
ORF9	14	86			
S	76	1984	263	7.54372623574145	0.000542483
