protein	dnds	dn	ds	ts/tv
gene100	0.02594	0.0257	0.9921	2.08163
gene101	0.05149	0.0387	0.7514	3.33669
gene102	0.08212	0.0437	0.5318	2.82577
gene103	0.17303	0.1262	0.7292	3.55324
gene104	0.05645	0.0390	0.6909	2.60031
gene105	0.13277	0.1322	0.9958	2.86339
gene106	0.03253	0.0246	0.7571	3.43583
gene107	0.10649	0.0779	0.7319	2.22583
gene108	0.04631	0.0458	0.9896	3.29530
gene109	0.08544	0.0683	0.7993	2.32158
gene110	0.09632	0.1133	1.1768	1.93464
gene111	0.04678	0.0454	0.9702	1.82187
gene112	0.04027	0.0318	0.7888	2.75674
gene113	0.02595	0.0220	0.8478	1.75512
gene114	0.07397	0.0540	0.7306	2.61354
gene115	0.21051	0.2205	1.0474	2.25774
gene116	0.07952	0.0730	0.9184	2.47442
gene117	0.04938	0.0599	1.2125	3.15873
gene118	0.04380	0.0397	0.9056	2.61021
gene120	0.03181	0.0321	1.0099	2.73607
gene121	0.05878	0.0436	0.7424	3.04740
gene122	0.01404	0.0108	0.7717	1.41343
gene123	0.11610	0.0989	0.8521	1.75653
gene124	0.04895	0.0440	0.8990	2.13675
gene125	0.26868	0.3037	1.1303	2.55309
gene126	0.07210	0.0389	0.5400	4.21023
gene127	0.06509	0.0499	0.7664	3.76761
gene128	0.03905	0.0336	0.8595	2.70823
gene129	0.05463	0.0368	0.6730	3.05757
gene130	0.10220	0.1113	1.0893	2.97306
gene131	0.14145	0.1075	0.7602	2.75277
gene132	0.04392	0.0259	0.5904	2.24092
gene135	0.02889	0.0372	1.2890	2.88122
gene137	0.12421	0.0709	0.5709	4.60004
gene138	0.06436	0.0700	1.0881	2.93671
gene139	0.09470	0.0553	0.5838	1.79010
gene140	0.08202	0.0709	0.8649	2.80456
gene142	0.07319	0.0422	0.5759	3.02396
gene143	0.12592	0.0825	0.6548	4.11307
gene144	0.06687	0.0508	0.7599	2.59751
gene145	0.04155	0.0324	0.7804	2.41787
gene146	0.02505	0.0260	1.0395	2.13467
gene153	0.09908	0.0736	0.7431	3.95346
gene154	0.09655	0.0627	0.6492	2.56056
gene155	0.15201	0.0973	0.6399	1.99951
gene158	0.05318	0.0439	0.8246	2.61337
gene159	0.19744	0.2196	1.1124	2.42722
gene160	0.07458	0.0544	0.7289	3.22114
gene165	0.09383	0.1254	1.3362	4.22083
gene169	0.18164	0.2270	1.2495	2.45623
gene175	0.19793	0.2447	1.2363	2.42521
gene177	0.07631	0.0735	0.9634	1.84173
gene179	0.05411	0.0653	1.2076	1.71770
gene187	0.10321	0.1041	1.0084	2.51051
gene190	0.18193	0.2089	1.1480	3.08213
gene191	0.21847	0.2418	1.1068	3.54910
gene200	0.31170	0.1856	0.5953	3.32091
gene202	0.20519	0.1719	0.8378	2.41313
gene204	0.23871	0.1815	0.7605	3.28442
gene207	0.14655	0.2030	1.3851	2.75040
gene213	0.25500	0.2272	0.8909	1.96146
gene23	0.19677	0.1904	0.9676	2.03778
gene26	0.19677	0.1904	0.9676	2.03778
gene27	0.21176	0.1626	0.7677	3.08702
gene32	0.25415	0.2608	1.0260	2.04562
gene39	0.19538	0.1487	0.7608	3.34051
gene43	0.03851	0.0464	1.2061	3.23504
gene49	0.02332	0.0192	0.8242	1.50553
gene50	0.17368	0.1428	0.8221	3.21054
gene51	0.11895	0.1125	0.9459	3.32089
gene52	0.07268	0.0648	0.8914	3.52670
gene55	0.10793	0.0920	0.8526	4.07946
gene56	0.14388	0.1237	0.8600	3.71688
gene58	0.04545	0.0348	0.7647	2.81937
gene59	0.06544	0.0531	0.8115	2.97385
gene61	0.07756	0.0800	1.0316	3.30338
gene63	0.06588	0.0522	0.7920	2.20391
gene65	0.04025	0.0505	1.2547	2.18914
gene66	0.04796	0.0419	0.8744	2.19707
gene68	0.06823	0.0911	1.3351	1.84685
gene69	0.17261	0.1410	0.8171	2.93096
gene70	0.14418	0.0699	0.4846	2.39322
gene72	0.03593	0.0299	0.8325	2.14228
gene73	0.26419	0.1698	0.6425	1.41561
gene75	0.05555	0.0489	0.8796	2.93146
gene76	0.12833	0.0721	0.5617	2.90685
gene77	0.06175	0.0587	0.9509	4.27534
gene78	0.03905	0.0375	0.9592	3.18581
gene79	0.11069	0.0930	0.8401	2.90739
gene80	0.07231	0.0546	0.7550	2.96434
gene81	0.10133	0.0726	0.7169	2.03910
gene82	0.08035	0.0610	0.7596	2.76995
gene84	0.13055	0.1050	0.8043	2.71914
gene85	0.04404	0.0346	0.7861	1.94075
gene86	0.10571	0.1104	1.0440	3.05873
gene87	0.07071	0.0723	1.0219	3.33342
gene88	0.01847	0.0167	0.9033	2.10819
gene89	0.06816	0.0646	0.9477	2.66367
gene90	0.02746	0.0237	0.8647	2.38922
gene91	0.24388	0.1329	0.5451	2.38432
gene92	0.09804	0.0761	0.7766	3.35361
gene93	0.04214	0.0306	0.7261	3.32456
gene94	0.11020	0.0536	0.4864	2.56585
gene95	0.10348	0.0749	0.7235	1.44346
gene97	0.04238	0.0290	0.6850	3.04701
gene98	0.07089	0.0484	0.6829	4.03416
