protein,dn/ds,dn,ds,tv/ts,tv/ts2
orf1ab,0.04856,0.0793,1.6326,1.64585,2.69807
S,0.02347,0.1406,5.9909,1.2997,1.67653
orf3,0.17233,0.1767,1.0253,1.56414,2.56281
E,0.17892,0.0272,0.1522,1.75989,1.55895
M,0.08143,0.0525,0.6444,1.48618,1.68624
orf6,0.09709,0.1722,1.7733,1.90082,5.84984
orf7a,0.1086,0.0834,0.7676,2.6084,3.33944
orf8,0.00359,0.5936,165.1164,0.98871,2.12592
N,0.14224,0.055,0.3868,2.30311,2.53058
