protein	cds	aa	pp	erate	expression	seq_number	exp	pp1006	erate1006	erate_nomal

NS1	420	139	0.702823853	0.005056287	111.1	1006	111.1	0.704964118	0.005071684	5.02613E-06

NS2	375	124	1.759651328	0.014190737	105.6	1036	105.6	1.29171439	0.010417052	1.36976E-05

N	1176	391	46.76366448	0.119295062	100	1788	100	1.155487696	0.002955211	6.67198E-05

P	726	241	11.49388812	0.047692482	75.6	1844	75.6	1.381446655	0.005732144	2.58636E-05

M	771	256	9.749410941	0.037935451	57.8	1847	57.8	0.499334453	0.001942936	2.0539E-05

SH	195	64	1.015081736	0.015860652	35.6	1006	35.6	1.01342697	0.015834796	1.57661E-05

G	897	298	24.82325215	0.083299504	23.3	1006	23.3	24.82325215	0.083299504	8.28027E-05

F	1725	574	23.152336	0.04033508	20	1846	20	5.308850598	0.009248869	2.185E-05

M2	585	194	2.486534167	0.012817186	16.7	1040	16.7	1.748234716	0.009011519	1.23242E-05

L	6498	2165	92.70360069	0.042661574	3.3	1853	3.3	17.87290003	0.008224989	2.3023E-05
